comment,class
"Если я говорю языками человеческими и ангельскими... любовь никогда не перестает — 1-е послание к Коринфянам 13:1—8",0
"Люби Господа — и делай что пожелаешь — Августин Блаженный",0
"Свободная любовь годится только для свободных сердец — Олег Авраменко",0
"Любовь, зависть и езду на верблюде невозможно скрыть — Данута Адамчик",0
"Два человека... обязаны проявлять чувство юмора и терпение — Джозеф Аддисон",0
"Бесконечная любовь — единственная истина — Дэвид Айк",0
"Дар истины — это дар любви — Дэвид Айк",0
"Где любовь, там и человек — Василий Аксёнов",0
"Насколько я люблю распутничать, настолько же не терплю книжные описания — Альфонс Алле",0
"И взглянул Елеазар... любовь смешивалась со слезами — Леонид Андреев",0
"Тот, кто был счастлив в любви, не имеет о ней понятия — Жан Ануй",0
"Любовь не поддаётся логике. Она начинается на биологическом уровне — Левон Аронян",0
"Говорить о любви — это заниматься любовью — Оноре де Бальзак",0
"Три года: страсть — нежность — скука — Фредерик Бегбедер",0
"Сильнее всех влюбляются самые отъявленные циники — Фредерик Бегбедер",0
"Человеческая любовь кончается вместе с жизнью — Анни Безант",0
"Любовь — переход от земного к духовному — Анни Безант",0
"Любовь — интимно-личная сфера жизни, куда общество не смеет вмешиваться — Николай Бердяев",0
"Любовь — универсальная энергия жизни — Николай Бердяев",0
"Любовь? Это обезболивающее — Уильям Берроуз",0
"Любовь — это энергия жизни — Роберт Браунинг",0
"Уничтожьте любовь — и земля станет могилой — Роберт Браунинг",0
"Если бы мы слушались разума, у нас бы не было любви — Рэй Брэдбери",0
"Любовь — смазочное масло жизни — Рэй Брэдбери",0
"Вы сами заслуживаете своей любви и преданности — Будда",0
"Любовь — занятие досужего человека — Эдвард Бульвер-Литтон",0
"Разлука для любви — как ветер для огня — Роже де Бюсси-Рабютен",0
"Любовь — это сила, почти как Бог — Вилле Вало",0
"Любовь — это не утешение, а свет — Симона Вейль",0
"Всё покоряет Любовь — Вергилий",0
"В воздухе носится любовь — Борис Виан",0
"Из всего вечного самый краткий срок у любви — Януш Вишневский",0
"Занимайтесь любовью, когда можете — Курт Воннегут",0
"Ангелы зовут это небесной отрадой, люди — любовью — Генрих Гейне",0
"Любовь к истине помогает её найти — Гельвеций",0
"Да разве любовь имеет что-либо общее с умом — Иоганн Гёте",0
"Любовь идеальна, супружество реально — Иоганн Гёте",0
"Любовь под маской — как огонь под пеплом — Карло Гольдони",0
"Всякая любовь законна, если это любовь — Григорий Горин",0
"Любить значит перестать сравнивать — Бернар Грассе",0
"Любовь выдумали трубадуры — Грэм Грин",0
"Сила любви и смеха побеждает страх — Джон Гудмен",0
"Любовь — спектакль с важными антрактами — Игорь Губерман",0
"Первый признак любви — несмелость и смелость — Виктор Гюго",0
"Любовь разрушает и оживляет — Дельфин",0
"Любовь ежедневно умирает, если не возрождается — Халиль Джебран",0
"Любовь — чистый огонь, который быстро гаснет — Джером Джером",0
"Любовь — это трижды вор — Диоген",0
"Молчаливая любовь красноречива — Альфонс Доде",0
"Свобода и молодость — это любовь — Сергей Довлатов",0
"Противоположность любви — ложь — Сергей Довлатов",0
"Велика радость любви, но и страдание велико — Фёдор Достоевский",0
"Любить красоту легко — Дмитрий Емец",0
"Любовь — это попытка мужчины ограничиться одной женщиной — Поль Жеральди",0
"Любовь заставляет поверить в невозможное — Поль Жеральди",0
"Любовь — форма созерцания — Марсель Жуандо",0
"Бог есть любовь — Библия (1-е послание Иоанна)",0
"Я люблю и любима, но это разные люди — Янина Ипохорская",0
"Любовь — когда всегда хорошая погода — фильм «Казанова»",0
"Три влечения: душа, разум и тело — «Ананга Ранга»",0
"Любовь не выдерживает столкновения с реальностью — Альбер Камю",0
"Хорошо говоришь о любви только когда не чувствуешь её — Альфонс Карр",0
"Любят не потому что лучше, а потому что любят — Владимир Киселёв",0
"Ненависть возбуждает раздоры, любовь покрывает грехи — Притчи Соломона",0
"Когда тебя любят, не сомневаешься ни в чём — Колетт",0
"Любовь у людей пуганая и прячется в сумерках — Сигизмунд Кржижановский",0
"Любовь — как плотина: маленькая щель разрушает всё — Пауло Коэльо",0
"Любовь не мешает судьбе — Пауло Коэльо",0
"Цель человека — осознать любовь — Пауло Коэльо",0
"Любовь не приносит счастья, а приносит смятение — Пауло Коэльо",0
"Любовь — болезнь, но улучшает самочувствие — Кретя Патачкувна",0
"Влюбиться — это как сесть не в тот автобус — Кретя Патачкувна",0
"Вечная любовь длится около шести месяцев — Кретя Патачкувна",0
"Любовь — это отражение себя в другом — Анатолий Кудрявицкий",0
"Разлука для любви — как ветер для огня — Александр Куприн",0
"Любовь — пламенная музыка сердца — Александр Куприн",0
"Любовь — самая мощная энергия мира — Мартин Лютер Кинг",0
"Любовь спасёт наш мир — Мартин Лютер Кинг",0
"Мы должны найти силу любви — Мартин Лютер Кинг",0
"Смерть есть пристанище старости.",1
"Отъехать — это совсем немного умереть. Но умереть — это очень сильно отъехать!",1
"Я не боюсь умереть. Я просто не хочу при этом присутствовать.",1
"…Знаю — умирать не страшно.",1
"Блаженнее всего для человека — умереть счастливым.",1
"Смерть — это зачернённая сторона зеркала, без которой мы бы ничего не увидели.",1
"Смерть — таинственное лекарство против тщеславия.",1
"Не смерть страшна — страшно, что всегда она приходит раньше времени.",1
"Смерть (или память о смерти) наполняет людей возвышенными чувствами и делает жизнь ценной.",1
"Мысль о смерти более жестока, чем сама смерть.",1
"Смерть — это то, что бывает с другими.",1
"Страх смерти хуже, чем сама смерть.",1
"Бездействие — преждевременная смерть.",1
"Смерти можно бояться или не бояться — придет она неизбежно.",1
"Не думаю, что после смерти с человеком что-то происходит…",1
"Когда мы уже больше не можем мечтать, мы умираем.",1
"Всех ожидает одна и та же ночь.",1
"Смерть – это свобода, несовместимая с жизнью.",1
"Смерть – событие, ведь так обычна жизнь вокруг.",1
"Умереть сегодня — страшно, а когда-нибудь — ничего.",1
"Смерть — это тот самый заговор большинства против меньшинства.",1
"Стоит ли торопиться к бессмертию, если оно начинается смертью?",1
"Смерти меньше всего боятся те люди, чья жизнь имеет наибольшую ценность.",1
"Человек может умереть благородной или подлой смертью.",1
"Смерть — величайший математик.",1
"Если мы так мало знаем о жизни, что мы можем знать о смерти?",1
